,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_184,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68,24,324,172
ASV_185,0,0,0,0,0,0,0,0,0,3,3,7,2,0,0,0,0,0,274,375,6,3
ASV_186,2,2,8,2,3,0,0,2,0,0,0,0,0,74,141,123,161,200,0,0,0,0
ASV_187,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,1,2,386,12
ASV_188,0,0,0,0,0,0,0,0,0,7,3,11,2,0,0,0,0,0,0,1,2,33
ASV_189,24,74,80,69,78,86,62,66,74,0,0,1,0,8,16,18,26,20,0,0,0,0
ASV_190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,654
ASV_191,0,0,0,0,0,0,0,0,0,10,21,5,7,0,0,0,0,0,387,77,8,10
ASV_192,0,0,1,0,0,0,0,1,0,48,314,102,155,0,0,1,0,0,0,0,0,0
ASV_193,0,0,0,0,0,0,0,0,0,49,34,35,27,0,0,0,0,0,12,0,236,44
ASV_194,0,0,0,0,0,0,0,0,0,2,2,6,1,0,0,0,0,0,75,35,128,97
ASV_195,0,0,0,0,0,0,0,0,0,11,20,18,28,0,0,0,0,0,31,11,252,93
ASV_196,36,36,54,57,22,31,40,17,46,0,0,0,1,33,70,34,106,85,0,0,0,0
ASV_197,0,0,0,0,0,0,0,0,0,67,6,41,30,0,0,0,0,0,0,0,2,2
ASV_198,18,43,90,38,78,98,99,81,107,0,0,0,0,2,6,0,2,1,0,0,0,0
ASV_199,9,3,5,15,16,15,16,7,18,0,0,0,0,59,123,90,185,100,0,0,0,0
ASV_200,0,0,0,0,0,0,0,0,0,120,211,157,172,0,0,1,0,0,0,0,0,0
ASV_201,0,0,0,0,0,0,0,0,0,188,193,144,129,0,0,0,0,0,0,0,0,0
ASV_202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,33,3,18
ASV_203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,6,36,38
ASV_204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,18,6,14
ASV_205,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,8,17,383,50
ASV_206,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,41,10,22,7
ASV_207,16,22,29,29,24,15,38,35,29,0,1,1,0,38,100,41,95,124,0,0,0,0
ASV_208,0,0,0,0,0,0,0,0,0,7,6,8,2,0,0,0,0,0,85,38,6,287
ASV_209,0,0,0,0,0,0,0,0,0,25,75,56,27,0,1,0,0,0,2,0,6,0
ASV_210,0,0,0,0,0,0,0,0,0,15,485,54,62,0,0,0,0,0,0,2,2,0
ASV_211,3,7,4,2,4,1,4,8,2,0,0,0,0,92,121,130,110,132,0,0,0,0
ASV_212,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,268,299
ASV_213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,200
ASV_214,45,97,89,41,38,147,37,19,7,0,0,0,0,9,23,7,16,40,0,0,0,0
ASV_215,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,8,11,348
ASV_216,30,24,116,33,60,132,101,6,4,0,0,0,0,15,17,23,18,23,0,0,0,0
ASV_217,8,54,16,35,53,22,39,31,38,0,0,0,0,29,74,44,90,67,0,0,0,2
ASV_218,11,1,17,19,6,22,9,0,0,0,0,0,0,65,98,112,90,151,0,0,0,0
ASV_219,30,130,92,10,77,38,37,91,79,0,0,0,0,9,1,3,1,1,0,0,0,0
ASV_220,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,2,5,340,38
