,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_188,0,0,0,0,0,0,0,1,0,5,227,25,13,0,0,0,0,1
ASV_189,39,42,85,26,12,27,11,4,1,0,0,0,0,5,6,3,1,9
ASV_190,0,3,0,0,0,0,4,1,1,27,70,84,62,0,4,1,4,5
ASV_191,31,49,88,28,7,26,10,6,2,0,0,0,0,0,4,3,3,2
ASV_192,10,21,46,8,39,18,47,29,40,0,0,0,0,0,0,0,0,0
ASV_193,5,21,24,20,17,29,16,8,4,0,0,0,0,14,22,19,21,35
ASV_194,17,16,25,5,27,24,41,55,33,0,2,0,0,3,0,0,0,6
ASV_195,11,20,54,30,30,30,28,8,8,0,0,0,0,2,11,5,8,9
ASV_196,9,11,15,10,12,5,21,22,22,13,76,16,21,1,0,0,0,0
ASV_197,1,28,9,15,33,14,3,45,79,0,0,0,0,4,7,3,2,7
ASV_198,7,31,27,13,28,33,31,26,12,0,0,1,0,4,6,4,10,17
ASV_199,6,4,18,7,8,19,11,9,4,0,1,0,0,11,37,18,48,45
ASV_200,4,4,7,1,6,9,3,0,2,0,0,0,0,24,48,28,47,62
ASV_201,5,9,17,14,8,6,9,5,5,0,0,0,0,21,25,20,47,52
ASV_202,0,0,0,0,0,0,0,0,0,2,194,30,17,0,0,0,0,0
ASV_203,0,0,0,0,0,0,0,0,0,57,68,62,56,0,0,0,0,0
ASV_204,0,0,3,0,2,0,1,0,0,0,0,0,0,37,41,31,81,43
ASV_205,1,2,0,6,0,1,0,0,0,0,0,0,0,30,41,43,76,35
ASV_206,11,16,27,16,31,24,22,49,35,0,0,0,0,1,1,0,0,1
ASV_207,7,10,2,10,4,4,2,21,56,0,0,0,0,34,32,27,5,20
ASV_208,2,1,2,5,2,0,8,2,0,0,1,4,1,16,33,51,44,60
ASV_209,0,0,3,0,2,1,1,0,0,0,0,0,0,36,45,24,46,74
ASV_210,0,0,0,0,0,0,0,0,0,39,110,35,48,0,0,0,0,0
ASV_211,0,0,0,0,0,0,0,0,0,5,3,220,2,0,0,0,0,0
ASV_212,8,28,52,11,23,26,34,32,13,0,0,0,0,0,1,0,1,0
ASV_213,2,8,3,5,1,5,1,0,3,0,0,0,0,30,62,26,18,62
ASV_214,4,0,6,18,4,2,7,2,0,0,0,0,0,35,31,39,42,31
ASV_215,17,29,43,14,20,21,34,20,22,0,0,0,0,0,0,0,0,1
ASV_216,8,9,41,7,29,17,49,21,5,0,0,0,0,8,11,3,5,6
ASV_217,0,0,0,2,0,3,0,0,0,0,0,0,0,32,55,31,53,43
ASV_218,1,4,4,4,3,4,15,4,3,0,0,0,0,22,38,34,46,36
ASV_219,11,13,31,26,11,6,25,10,1,0,0,0,0,14,21,10,14,25
ASV_220,0,0,0,1,0,0,1,0,0,0,0,0,0,26,35,41,66,48
ASV_221,11,15,31,13,36,20,17,12,9,0,0,0,0,11,16,6,11,7
ASV_222,0,0,0,0,0,0,0,1,1,12,129,51,21,0,0,0,0,0
ASV_223,14,14,16,14,2,7,8,9,9,0,0,0,0,14,27,13,31,36
ASV_224,0,0,4,7,0,5,5,2,0,0,0,0,0,38,54,33,32,34
ASV_225,0,0,0,0,0,0,0,0,0,23,28,102,61,0,0,0,0,0
ASV_226,3,18,14,6,30,18,15,6,14,2,3,5,0,6,14,21,23,15
ASV_227,3,14,23,18,13,16,11,8,5,0,1,1,1,9,28,23,22,17
ASV_228,11,40,23,11,15,25,11,50,21,0,0,0,0,0,2,1,0,1
ASV_229,0,0,0,1,1,4,0,0,0,0,0,0,0,19,39,59,43,45
ASV_230,0,0,0,0,0,0,0,0,0,36,73,42,60,0,0,0,0,0
ASV_231,8,5,12,11,5,9,9,4,2,0,0,0,0,33,28,18,37,29
ASV_232,22,3,73,65,1,30,2,2,0,0,0,0,0,2,1,2,4,3
ASV_233,0,0,0,1,1,0,0,1,0,0,0,0,0,30,48,31,20,78
ASV_234,0,0,0,0,0,1,0,0,0,0,0,0,0,16,53,13,91,36
ASV_235,7,2,17,3,18,23,12,0,1,0,0,0,0,16,28,39,22,21
ASV_236,3,7,4,10,8,4,1,0,0,0,1,0,0,40,35,35,24,36
ASV_237,0,1,0,0,1,1,1,1,0,0,0,0,0,19,45,41,32,66
ASV_238,17,12,13,52,9,30,26,11,14,0,0,0,0,2,9,1,4,5
ASV_239,13,16,14,20,39,23,28,17,25,0,0,0,0,1,0,0,0,8
ASV_240,0,0,0,0,0,0,0,0,0,41,73,45,45,0,0,0,0,0
ASV_241,2,10,1,21,5,21,8,1,0,0,0,0,1,13,25,38,24,33
ASV_242,22,9,6,41,17,33,40,9,1,0,0,0,0,1,4,3,11,6
